"","Chromosome","Start","End","hgnc_symbols","ensgs","combinedRank"
"1","chr7",64540001,64545000,"RP11-460N20.5","ENSG00000226002",192
"2","chr8",2870001,2875000,"CSMD1","ENSG00000183117",3005
"3","chr2",201035001,201040000,"NA","NA",4304
"4","chr5",114935001,114940000,"TMED7-TICAM2,TICAM2,AC010226.4","ENSG00000251201,ENSG00000243414,ENSG00000249249",5150
"5","chrX",49125001,49130000,"PPP1R3F,LL0XNC01-7P3.1","ENSG00000049769,ENSG00000270012",7165
"6","chr7",158935001,158940000,"VIPR2","ENSG00000106018",7285
"7","chr8",2880001,2885000,"CSMD1","ENSG00000183117",7304
"8","chr10",37410001,37415000,"ANKRD30A","ENSG00000148513",7393
"9","chr8",3005001,3010000,"CSMD1","ENSG00000183117",7785
"10","chr18",71505001,71510000,"NA","NA",7792
"11","chr8",2800001,2805000,"CSMD1","ENSG00000183117",7809
"12","chr12",80100001,80105000,"RP11-530C5.1","ENSG00000258048",8505
"13","chr8",2980001,2985000,"CSMD1","ENSG00000183117",8512
"14","chr8",2840001,2845000,"CSMD1","ENSG00000183117",8794
"15","chr8",3015001,3020000,"CSMD1","ENSG00000183117",8876
"16","chr8",2895001,2900000,"CSMD1","ENSG00000183117",9067
"17","chr1",36180001,36185000,"C1orf216","ENSG00000142686",9162
"18","chr8",2860001,2865000,"CSMD1","ENSG00000183117",9383
"19","chr8",2925001,2930000,"CSMD1","ENSG00000183117",9526
"20","chr14",106480001,106485000,"NA","NA",10038
"21","chrX",134655001,134660000,"DDX26B","ENSG00000165359",10125
"22","chr8",2920001,2925000,"CSMD1","ENSG00000183117",10316
"23","chrX",150895001,150900000,"NA","NA",10415
"24","chr4",142250001,142255000,"RP11-362F19.1","ENSG00000248810",10490
"25","chr6",28090001,28095000,"ZSCAN16-AS1,ZSCAN16","ENSG00000269293,ENSG00000196812",10773
"26","chr18",30350001,30355000,"KLHL14,AC012123.1","ENSG00000197705,ENSG00000228835",10828
"27","chr8",2855001,2860000,"CSMD1","ENSG00000183117",10900
"28","chr8",2940001,2945000,"CSMD1","ENSG00000183117",11062
"29","chrX",51485001,51490000,"GSPT2","ENSG00000189369",11089
"30","chrX",112795001,112800000,"NA","NA",11550
"31","chrX",49675001,49680000,"AF238380.8","ENSG00000220132",11604
"32","chrX",74140001,74145000,"KIAA2022","ENSG00000050030",11713
"33","chr19",44200001,44205000,"NA","NA",11855
"34","chrX",68295001,68300000,"NA","NA",12181
"35","chr14",90850001,90855000,"NA","NA",12188
"36","chrX",52080001,52085000,"NA","NA",12361
"37","chrX",132570001,132575000,"NA","NA",12432
"38","chrX",46430001,46435000,"CHST7","ENSG00000147119",12576
"39","chr8",3010001,3015000,"CSMD1","ENSG00000183117",12662
"40","chr19",23300001,23305000,"ZNF730","ENSG00000183850",12692
"41","chr3",83470001,83475000,"NA","NA",12760
"42","chr12",131735001,131740000,"NA","NA",12789
"43","chr9",24230001,24235000,"NA","NA",12843
"44","chrX",148975001,148980000,"NA","NA",12853
"45","chrX",2930001,2935000,"ARSH","ENSG00000205667",12935
"46","chrX",40000001,40005000,"BCOR","ENSG00000183337",12994
"47","chrX",39675001,39680000,"NA","NA",13129
"48","chrX",68460001,68465000,"NA","NA",13135
"49","chr8",19135001,19140000,"NA","NA",13305
"50","chrX",149530001,149535000,"MAMLD1","ENSG00000013619",13414
"51","chr8",2815001,2820000,"CSMD1","ENSG00000183117",13443
"52","chrX",128975001,128980000,"ZDHHC9","ENSG00000188706",13609
"53","chrX",103375001,103380000,"SLC25A53","ENSG00000176274",13657
"54","chrX",53260001,53265000,"IQSEC2","ENSG00000124313",13731
"55","chr6",13860001,13865000,"NA","NA",13760
"56","chr4",19545001,19550000,"RP11-608O21.1","ENSG00000248515",13819
"57","chr1",5610001,5615000,"NA","NA",13879
"58","chr4",11325001,11330000,"NA","NA",13889
"59","chr3",134745001,134750000,"EPHB1","ENSG00000154928",14075
"60","chr8",2885001,2890000,"CSMD1","ENSG00000183117",14167
"61","chrX",118105001,118110000,"LONRF3","ENSG00000175556",14223
"62","chrX",107065001,107070000,"MID2","ENSG00000080561",14229
"63","chr1",228740001,228745000,"RNA5SP19,DUSP5P1","ENSG00000202056,ENSG00000183929",14266
"64","chrX",131620001,131625000,"MBNL3","ENSG00000076770",14308
"65","chrX",74325001,74330000,"ABCB7","ENSG00000131269",14337
"66","chr5",98745001,98750000,"NA","NA",14376
"67","chr1",82600001,82605000,"NA","NA",14391
"68","chrX",149845001,149850000,"NA","NA",14454
"69","chr3",83365001,83370000,"NA","NA",14519
"70","chrX",11230001,11235000,"ARHGAP6","ENSG00000047648",14531
"71","chr12",20960001,20965000,"SLCO1B3","ENSG00000111700",14599
"72","chrX",52590001,52595000,"RP13-34L8.8","ENSG00000231593",14699
"73","chr8",2935001,2940000,"CSMD1","ENSG00000183117",15002
"74","chr5",126405001,126410000,"C5orf63","ENSG00000164241",15035
"75","chrX",51235001,51240000,"NUDT11","ENSG00000196368",15073
"76","chr1",220920001,220925000,"MARC2","ENSG00000117791",15122
"77","chr6",100065001,100070000,"NA","NA",15145
"78","chr1",5690001,5695000,"RP11-154H17.1","ENSG00000236948",15233
"79","chr8",2795001,2800000,"CSMD1","ENSG00000183117",15334
"80","chr8",2890001,2895000,"CSMD1","ENSG00000183117",15362
"81","chr22",48080001,48085000,"RP11-191L9.4","ENSG00000224271",15367
"82","chr4",19520001,19525000,"RP11-608O21.1","ENSG00000248515",15510
"83","chr10",22540001,22545000,"NA","NA",15525
"84","chr11",37495001,37500000,"NA","NA",15674
"85","chrX",38605001,38610000,"NA","NA",15719
"86","chr11",98530001,98535000,"NA","NA",15827
"87","chr7",138345001,138350000,"SVOPL","ENSG00000157703",15832
"88","chrX",132545001,132550000,"GPC4","ENSG00000076716",15894
"89","chr1",212060001,212065000,"NA","NA",15978
"90","chrX",71210001,71215000,"NHSL2","ENSG00000204131",16092
"91","chr2",197320001,197325000,"HECW2","ENSG00000138411",16343
"92","chrX",49770001,49775000,"CLCN5,AF222686.1,MIR500A,MIR362,MIR501","ENSG00000171365,ENSG00000265152,ENSG00000207785,ENSG00000208015,ENSG00000211538",16460
"93","chrX",150565001,150570000,"VMA21","ENSG00000160131",16571
"94","chr19",58425001,58430000,"CTD-2583A14.9,ZNF417","ENSG00000269476,ENSG00000173480",16665
"95","chr4",34335001,34340000,"NA","NA",16677
"96","chrX",51450001,51455000,"CENPVP1","ENSG00000223591",16728
"97","chr10",42735001,42740000,"NA","NA",16761
"98","chr8",3000001,3005000,"CSMD1","ENSG00000183117",16841
"99","chrX",128780001,128785000,"APLN","ENSG00000171388",16874
"100","chr19",9285001,9290000,"NA","NA",17130
