"","Chromosome","Start","End","Strand","mean.mean.g1","mean.mean.g2","mean.mean.diff.x","mean.mean.quot.log2.x","comb.p.val.x","comb.p.adj.fdr.x","num.sites.x","combinedRank.x","mean.mean.F","mean.mean.M","mean.mean.diff.y","mean.mean.quot.log2.y","comb.p.val.y","comb.p.adj.fdr.y","num.sites.y","combinedRank.y"
"1","chr7",64540001,64545000,"*",0.512017820192308,0.0874342653846154,0.424583554807692,4.9160161723057,6.82810397479336e-05,0.436206751293606,52,192,0.117071847619048,0.00969618571428571,0.107375661904762,3.02522675538963,0.155957954719334,0.71622291318819,7,11671
"2","chr8",2870001,2875000,"*",0.363405342105263,0.716340657894737,-0.352935315789474,-1.3413408587487,0.0228642461064489,0.542224710774735,19,3005,NA,NA,NA,NA,NA,NA,NA,NA
"3","chr2",201035001,201040000,"*",0.362665746039604,0.736734861386139,-0.374069115346535,-1.31839499001193,0.0315927386574429,0.542224710774735,101,4304,NA,NA,NA,NA,NA,NA,NA,NA
"4","chr5",114935001,114940000,"*",0.441100871710526,0.206948528289474,0.234152343421053,3.27605130191382,0.00270864931876864,0.542224710774735,76,5150,0.716161638333333,0.682925194166667,0.0332364441666667,0.292489290725993,0.207128788322889,0.71622291318819,20,45010
"5","chrX",49125001,49130000,"*",0.268143109493671,0.0586809911392405,0.20946211835443,3.28412663352631,0.00140225826854465,0.542224710774735,79,7165,0.228606346376812,0.0186692188405797,0.209937127536232,3.34579134368751,0.00202929694354612,0.299066765446523,23,1224
"6","chr7",158935001,158940000,"*",0.126737214795918,0.334990762244898,-0.20825354744898,-2.41162868795921,0.0184086362603558,0.542224710774735,196,7285,0.263066225287356,0.218704929885057,0.0443612954022989,0.329561517412473,0.424518932175862,0.71622291318819,29,55986
"7","chr8",2880001,2885000,"*",0.369225532,0.70366952,-0.334443988,-1.04042719833317,0.0479525392027153,0.542224710774735,25,7304,0.447278666666667,0.693374133333333,-0.246095466666667,-0.691319572527486,0.0742576757028504,0.71622291318819,5,5026
"8","chr10",37410001,37415000,"*",0.424349341007194,0.687422553956834,-0.26307321294964,-0.977038555378471,0.0484388343276157,0.542224710774735,139,7393,NA,NA,NA,NA,NA,NA,NA,NA
"9","chr8",3005001,3010000,"*",0.486827139705882,0.758507338235294,-0.271680198529412,-0.908673978128253,0.0405164334814586,0.542224710774735,34,7785,NA,NA,NA,NA,NA,NA,NA,NA
"10","chr18",71505001,71510000,"*",0.6983408125,0.40667466875,0.29166614375,0.90848567963165,0.0475288953299141,0.542224710774735,32,7792,NA,NA,NA,NA,NA,NA,NA,NA
"11","chr8",2800001,2805000,"*",0.447838477272727,0.755670886363636,-0.307832409090909,-0.907876408499149,0.0448136240295981,0.542224710774735,22,7809,NA,NA,NA,NA,NA,NA,NA,NA
"12","chr12",80100001,80105000,"*",0.209775730232558,0.423575720930233,-0.213799990697674,-1.19586342740081,0.0535053752352913,0.542224710774735,43,8505,NA,NA,NA,NA,NA,NA,NA,NA
"13","chr8",2980001,2985000,"*",0.413024783333333,0.743093757575758,-0.330068974242424,-0.971246717444217,0.0535179223006674,0.542224710774735,33,8512,NA,NA,NA,NA,NA,NA,NA,NA
"14","chr8",2840001,2845000,"*",0.470979684259259,0.776466444444444,-0.305486760185185,-0.934792186824557,0.0549126393716195,0.542224710774735,54,8794,NA,NA,NA,NA,NA,NA,NA,NA
"15","chr8",3015001,3020000,"*",0.439818382352941,0.728969294117647,-0.289150911764706,-0.867036515928944,0.0361710712586731,0.542224710774735,34,8876,NA,NA,NA,NA,NA,NA,NA,NA
"16","chr8",2895001,2900000,"*",0.439009561904762,0.722172095238095,-0.283162533333333,-0.860386225207255,0.0436941338779507,0.542224710774735,21,9067,NA,NA,NA,NA,NA,NA,NA,NA
