"","Chromosome","Start","End","Strand","mean.mean.g1","mean.mean.g2","mean.mean.diff.x","mean.mean.quot.log2.x","comb.p.val.x","comb.p.adj.fdr.x","num.sites.x","combinedRank.x","mean.mean.F","mean.mean.M","mean.mean.diff.y","mean.mean.quot.log2.y","comb.p.val.y","comb.p.adj.fdr.y","num.sites.y","combinedRank.y"
"1","chr1",36179476,36185073,"-",0.445677565725806,0.258625385887097,0.18705217983871,2.29025092033334,0.00842131385331309,0.56433989627138,124,860,0.371619857291667,0.360395088541667,0.01122476875,0.265628018939389,0.499431589326052,0.650378701654427,32,20530
"2","chr5",114937754,114956356,"+",0.53611652826087,0.351772254891304,0.184344273369565,2.6250917942616,0.00664819133315667,0.56433989627138,92,913,0.768636531578947,0.740964362280702,0.0276721692982456,0.184862244618073,0.228794744131689,0.650378701654427,19,8881
"3","chr18",30349758,30354376,"+",0.0873539436781609,0.270509509770115,-0.183155566091954,-2.32287478347653,0.0302875079825015,0.56433989627138,174,930,0.263902154605263,0.341756346929825,-0.0778541923245614,-0.436514583045546,0.258505524844387,0.650378701654427,76,5507
"4","chr2",177053307,177055688,"+",0.0976429150990099,0.270855119306931,-0.173212204207921,-1.4659915937687,0.05692689831498,0.56433989627138,202,1109,0.320518723809524,0.30623030952381,0.0142884142857143,0.00113066633042548,0.36627524305437,0.650378701654427,21,26509
"5","chrX",118212598,118284542,"-",0.4435598359375,0.7169966375,-0.2734368015625,-0.752382403926188,0.060474501906537,0.56433989627138,96,1389,0.4517775,0.806194,-0.3544165,-0.821631067298673,0.0292726802134659,0.650378701654427,2,776
"6","chr10",135341026,135342661,"-",0.44913756122449,0.148929857653061,0.300207703571429,1.85270320524803,0.0815054686174366,0.56433989627138,98,1613,0.239529880645161,0.442248182795699,-0.202718302150538,-0.861248828798704,0.241572648850132,0.650378701654427,31,4811
"7","chr12",127629617,127631077,"-",0.114974241666667,0.305090077604167,-0.1901158359375,-1.74263322179205,0.0825971125269594,0.56433989627138,96,1637,0.161377833333333,0.165384433333333,-0.0040066,-0.608126508167512,0.431827262300573,0.650378701654427,2,22170
"8","chrX",46433219,46457843,"+",0.253723328220859,0.112045235582822,0.141678092638037,3.09030597849176,0.0011030515409098,0.56433989627138,163,1815,NA,NA,NA,NA,NA,NA,NA,NA
"9","chrX",110537007,110655603,"-",0.445909413961039,0.657393366233766,-0.211483952272727,-0.680109380959825,0.0939415235730787,0.56433989627138,154,1885,0.398898552380952,0.386049116666667,0.0128494357142857,0.454026397021682,0.158813301636319,0.650378701654427,7,15037
"10","chr20",23016057,23017314,"+",0.371460964527027,0.532786727364865,-0.161325762837838,-0.904549608450202,0.0954385405643702,0.56433989627138,148,1924,0.614614593333333,0.696314386666667,-0.0816997933333333,-0.203530756914768,0.223244920299737,0.650378701654427,50,7428
