"","Chromosome","Start","End","Strand","mean.mean.g1","mean.mean.g2","mean.mean.diff.x","mean.mean.quot.log2.x","comb.p.val.x","comb.p.adj.fdr.x","num.sites.x","combinedRank.x","mean.mean.F","mean.mean.M","mean.mean.diff.y","mean.mean.quot.log2.y","comb.p.val.y","comb.p.adj.fdr.y","num.sites.y","combinedRank.y"
"1","chr1",36184249,36184774,"*",0.357603997115385,0.00707614519230769,0.350527851923077,4.63509493018162,0.000184942067697116,0.175459092068505,52,27,0.161220533333333,0.101126627777778,0.0600939055555556,0.576836457019493,0.510813854913584,0.758747445514493,6,8986
"2","chr5",114937614,114938149,"*",0.324270992307692,0.00636272980769231,0.3179082625,4.66535831325642,0.000332060444962986,0.180396919283973,52,49,NA,NA,NA,NA,NA,NA,NA,NA
"3","chrX",49125646,49127200,"*",0.254861148461538,0.0394769815384615,0.215384166923077,3.47804840461421,0.00119693949634768,0.261168273711273,65,122,0.228606346376812,0.0186692188405797,0.209937127536232,3.34579134368751,0.00202929694354612,0.216478684473928,23,133
"4","chrX",118108503,118110559,"*",0.222463613888889,0.0125052395833333,0.209958374305556,3.79321884363244,0.000689651916695254,0.208947211844253,72,129,0.303041983333333,0.0298531875,0.273188795833333,3.49840121557513,0.00162660828937714,0.183161257219705,8,126
"5","chr1",220921412,220922176,"*",0.0102585236263736,0.196730772527473,-0.186472248901099,-3.62729638903097,0.00172615993084161,0.296492140808455,91,201,0.121630975,0.19842010625,-0.07678913125,-0.658937410222734,0.401196784216333,0.758747445514493,8,5884
"6","chrX",46433055,46434902,"*",0.195852045357143,0.0103940328571429,0.1854580125,3.69616000976502,0.000463689367509011,0.194761619976454,140,205,NA,NA,NA,NA,NA,NA,NA,NA
"7","chr21",46975416,46976341,"*",0.0267682776119403,0.212537685074627,-0.185769407462687,-3.38326492556749,0.00381176782915379,0.468350339872482,67,216,NA,NA,NA,NA,NA,NA,NA,NA
"8","chrX",132090364,132092617,"*",0.185486806985294,0.00692889338235294,0.178557913602941,3.75186764017516,0.000226527377416073,0.175459092068505,136,234,0.261698777777778,0.00752314652777778,0.25417563125,4.23492704086133,8.34009389817325e-07,0.00197215420378803,24,33
"9","chrX",107069309,107070201,"*",0.181753355194805,0.0115352448051948,0.17021811038961,3.43990845562552,0.000623945013535663,0.201848957942713,77,285,NA,NA,NA,NA,NA,NA,NA,NA
"10","chrX",68723732,68726051,"*",0.232014248417722,0.0601493186708861,0.171864929746835,2.56464630168757,0.00887295839690903,0.820132474047633,158,288,NA,NA,NA,NA,NA,NA,NA,NA
"11","chrX",148712840,148713679,"*",0.172022474305556,0.00396099652777778,0.168061477777778,3.83531764361295,7.3049473138082e-05,0.142435939134951,72,295,NA,NA,NA,NA,NA,NA,NA,NA
"12","chrX",133305679,133306936,"*",0.173435203636364,0.00613267272727273,0.167302530909091,3.57934473580573,0.000251209307706241,0.175459092068505,55,304,NA,NA,NA,NA,NA,NA,NA,NA
"13","chr7",158936508,158938492,"*",0.0652381378698225,0.293025712426035,-0.227787574556213,-2.75415790814575,0.0113210609683053,0.957212185324698,169,309,0.2605169,0.21987891547619,0.0406379845238095,0.312236676678624,0.465691767067642,0.758747445514493,28,7717
"14","chrX",149529541,149534090,"*",0.207043500992063,0.0410873533730159,0.165956147619048,2.92947323784068,0.00263287863499377,0.370831900865261,252,314,0.195772146153846,0.109264888461538,0.0865072576923077,1.94792057802271,0.00416194176856054,0.354620173957074,13,1064
"15","chrX",74143853,74145176,"*",0.275206346929825,0.103164177192982,0.172042169736842,2.34136839795895,0.0143497216113329,0.957212185324698,114,328,0.213776605555556,0.0174669333333333,0.196309672222222,3.48274666451316,3.4749141748239e-05,0.0154069007226255,12,109
"16","chrX",132547568,132550284,"*",0.170556142307692,0.00751833605769231,0.16303780625,3.51441914064079,0.000573715472203808,0.201848957942713,104,333,0.116060325,0.008928575,0.10713175,2.97643618998609,0.00717528755019053,0.55028637709245,4,715
"17","chrX",68835649,68837063,"*",0.163652251818182,0.00152512,0.162127131818182,3.76344487677387,0.000240395840623618,0.175459092068505,55,342,NA,NA,NA,NA,NA,NA,NA,NA
"18","chrX",51238707,51240104,"*",0.162808118072289,0.00438548192771084,0.158422636144578,3.60834020289476,0.000457431651082869,0.194761619976454,83,376,0.157337951666667,0.0273722125,0.129965739166667,2.46339230683104,0.0149599858708735,0.758747445514493,20,463
"19","chrX",68048660,68050252,"*",0.161780334126984,0.00355883015873016,0.158221503968254,3.8085897968324,7.49099604766836e-05,0.142435939134951,63,378,NA,NA,NA,NA,NA,NA,NA,NA
"20","chr18",30349691,30352302,"*",0.0784028466049383,0.266103095987654,-0.187700249382716,-2.46025434686988,0.0244705758273011,0.957212185324698,162,382,0.262299571917808,0.343647694520548,-0.0813481226027397,-0.455481775212364,0.251035575795583,0.758747445514493,73,3310
"21","chr1",228742997,228743461,"*",0.105770105737705,0.374500731967213,-0.268730626229508,-2.18788284495707,0.0261870782126876,0.957212185324698,61,390,NA,NA,NA,NA,NA,NA,NA,NA
